id_acidente	id_veiculo	tipo_veiculo	placa	sexo_condutor	idade_condutor	categoria_habilitacao	usa_cinto_seguranca	estado_alcoolizacao	escolaridade
D011100178	01	MO	CWW0192	M	33	SI	X	BR	6
D011100179	01	CM	DRW2906	M	60	SI	X	BR	5
D011100179	02	MO	CWA9840	M	30	SI	X	BR	3
D011100180	01	MO	EIE7967	M	SI	SI	X	BR	8
D011100180	02	AU	EMJ5358	M	54	SI	X	BR	5
D011100181	01	ON	DJC2541	M	40	SI	X	BR	3
D011100182	01	AU	EMV1427	F	46	SI	X	BR	8
D011100182	02	AU	HNA3681	M	65	SI	X	BR	5
D011100183	01	CM	DQB1282	M	27	SI	X	BR	6
D011100183	02	AU	ELH8753	F	35	SI	X	BR	7
D011100184	01	AU	CDV7908	M	47	SI	X	BR	5
D011100184	02	BI	SI     	F	49	NE	X	BR	5
D011100185	01	MO	ECP6242	M	33	SI	X	SA	5
D011100185	02	AU	DYF3864	M	55	SI	X	BR	7
D011100186	01	MO	EFE7792	X	SI	SI	X	BR	8
D011100187	01	AU	DRD4442	M	33	SI	X	BR	7
D011100188	01	CO	SI     	M	44	NE	X	BR	5
D011100189	01	OU	ECT7718	M	52	HA	X	SA	2
D011100190	01	AU	EBL5661	M	38	SI	X	BR	7
D011100191	01	SI	EVA0000	X	SI	SI	X	BR	8
D011100192	01	MO	EJP1620	M	53	SI	X	BR	5
D011100192	02	AU	DSS1153	M	68	SI	X	BR	5
D011100193	01	MO	EGY4307	F	34	SI	X	BR	5
D011100193	02	AU	ASF9714	M	43	SI	X	BR	3
D011100194	01	AU	EEF4176	M	27	SI	X	BR	7
D011100195	01	MO	DZQ0694	M	26	SI	X	BR	8
D011100195	02	AU	DTD7819	M	37	SI	X	BR	8
D011100195	03	AU	EMY1363	F	62	SI	X	BR	5
D011100196	01	MO	EQR0065	M	22	SI	X	BR	3
D011100196	02	AU	EFW1526	M	27	SI	X	BR	8
D011100197	01	MO	DVW0974	M	29	SI	X	BR	5
D011100197	02	AU	DDS0483	M	34	SI	X	BR	3
D011100198	01	MO	DZR0739	M	21	SI	X	BR	5
D011100198	02	AU	DQN8977	F	56	SI	X	BR	7
D011100199	01	MO	APL3134	M	28	SI	X	BR	3
D011100199	02	AU	EHX9634	M	31	SI	X	BR	7
D011100200	01	AU	DLM9808	M	23	SI	X	BR	3
D011100201	01	AU	GUY5713	M	28	SI	X	BR	5
D011100201	02	AU	EFU7217	M	61	SI	X	BR	3
D011100202	01	OU	EVA0000	X	SI	HA	X	BR	8
D011100203	01	AU	SI     	M	25	SI	X	BR	3
D011100204	01	AU	EJK6056	M	32	SI	X	BR	7
D011100204	02	AU	DEZ6024	M	45	SI	X	BR	5
D011100205	01	MO	CBX8318	M	21	SI	X	BR	3
D011100205	02	AU	EMF2334	F	44	SI	X	BR	7
D011100206	01	ON	DYX8952	M	37	SI	X	BR	5
D011100207	01	AU	CDC0226	M	44	SI	X	BR	3
D011100207	02	AU	CRD9553	M	30	SI	X	BR	7
D011100208	01	MO	DNF2352	M	19	SI	X	BR	3
D011100209	01	AU	SI     	X	SI	SI	X	BR	8
D011100209	02	AU	CRL2244	M	34	SI	X	BR	7
D011100210	01	MO	DOH5964	M	21	SI	X	BR	3
D011100210	02	AU	CNA2803	M	SI	SI	X	BR	8
D011100211	01	MO	DJJ1801	M	40	SI	X	BR	3
D011100211	02	SI	EVA0000	X	SI	SI	X	BR	8
D011100212	01	AU	DYF2423	M	27	SI	X	BR	7
D011100212	02	CM	DMI2555	M	46	SI	X	BR	3
D011100213	01	MO	EJR5818	M	42	SI	X	BR	3
D011100213	02	AU	IRF4959	F	24	SI	X	BR	6
D011100214	01	AU	EEY1409	M	SI	SI	X	BR	8
D011100215	01	MO	EHK1554	M	20	SI	X	BR	3
D011100215	02	AU	DIM0757	F	29	SI	X	BR	5
D011100216	01	AU	DTD4838	M	35	SI	X	BR	5
D011100216	02	AU	CYS4840	M	39	SI	X	BR	5
D011100217	01	AU	BPM3529	M	32	IN	X	BR	3
D011100218	01	SI	SI     	M	SI	SI	X	BR	8
D011100219	01	AU	LRX1444	F	22	SI	X	BR	6
D011100219	02	AU	DQQ8551	M	25	SI	X	BR	7
D011100220	01	MO	EKI8256	F	36	SI	X	BR	3
D011100220	02	CM	FWE9995	M	23	SI	X	BR	6
D011100221	01	MO	EGY6288	M	26	SI	X	BR	5
D011100221	02	AU	DCE1548	M	27	SI	X	BR	5
D011100222	01	MO	BYZ2078	M	39	SI	X	BR	5
D011100222	02	AU	EBF1160	M	38	SI	X	BR	7
D011100223	01	AU	DSC6153	M	27	SI	X	BR	3
D011100224	01	AU	DOR2021	F	79	SI	X	BR	7
D011100224	02	AU	CPA2773	M	52	HA	X	BR	7
D011100225	01	MO	DUZ4428	M	22	SI	X	BR	4
D011100225	02	AU	DUA6327	F	47	HA	X	BR	7
D011100226	01	MO	DFA5326	M	33	SI	X	BR	8
D011100226	02	AU	ELF5537	M	45	SI	X	BR	5
D011100227	01	MC	DJB5871	M	49	HA	X	BR	3
D011100227	02	MC	DTG0925	M	44	HA	X	BR	2
D011100228	01	AU	CAM1715	M	25	HA	X	BR	6
D011100229	01	MO	DZU3321	M	24	HA	X	BR	3
D011100229	02	AU	GTI5652	M	75	HA	X	BR	3
D011100230	01	AU	DLF8188	F	49	SI	X	BR	7
D011100230	02	AU	EGP1705	M	28	SI	X	BR	5
D011100231	01	MO	DYV2122	M	39	SI	X	BR	3
D011100231	02	AU	EBW1015	M	40	SI	X	BR	7
D011100232	01	MO	DZR9378	M	36	SI	X	BR	7
D011100232	02	CM	DHZ6060	F	21	SI	X	BR	6
D011100233	01	CM	EEI1080	M	44	SI	X	BR	7
D011100233	02	AU	EIT8026	M	33	SI	X	BR	7
D011100234	01	MO	CTT5743	M	42	SI	X	BR	5
D011100234	02	AU	EVA0000	X	SI	SI	X	BR	8
D011100235	01	MO	EIE3988	M	19	SI	X	BR	5
D011100235	02	AU	EBV1421	F	39	SI	X	BR	5
D011100236	01	MO	EVA0000	X	SI	SI	X	BR	8
D011100237	01	MO	EVA0000	X	SI	SI	X	BR	8
D011100238	01	MO	BYZ1452	M	39	SI	X	BR	3
D011100238	02	MO	EQE0963	M	29	SI	X	BR	5
D011100239	01	MO	DZS4537	M	23	SI	X	BR	8
D011100240	01	AU	EMR6194	M	54	SI	X	SA	7
D011100240	02	AU	DLU9513	M	22	SI	X	BR	6
D011100240	03	AU	DTA8199	M	37	SI	X	BR	5
D011100241	01	MO	DEK5934	M	31	SI	X	BR	5
D011100241	02	AU	SI     	X	SI	SI	X	BR	8
D011100242	01	AU	CHC3467	M	39	SI	X	BR	5
D011100243	01	MO	EIE3071	M	34	SI	X	BR	5
D011100243	02	AU	DCV2404	M	21	SI	X	BR	6
D011100244	01	AU	EFU3661	M	39	SI	X	BR	4
D011100245	01	MO	NBB1776	M	53	SI	X	BR	7
D011100245	02	AU	ECT6184	M	52	HA	X	BR	5
D011100246	01	AU	DLP7478	F	41	SI	X	BR	8
D011100246	02	AU	EST0712	M	30	SI	X	BR	7
D011100247	01	MO	DZP7578	M	30	SI	X	BR	8
D011100247	02	AU	CSF5127	M	35	SI	X	BR	6
D011100248	01	AU	KDL3037	M	68	SI	X	BR	7
D011100249	01	AU	EFB8491	M	46	SI	X	BR	7
D011100249	02	AU	EKK6865	M	51	SI	X	BR	7
D011100249	03	AU	EMV8878	M	38	SI	X	BR	7
D011100250	01	MO	DJI6388	M	30	SI	X	BR	3
D011100250	02	AU	DDB8646	M	20	SI	X	BR	5
D011100251	01	MO	DJS8835	M	26	SI	X	BR	5
D011100251	02	CA	EBB4907	M	33	SI	X	BR	2
D011100252	01	MO	CDS5697	M	50	SI	X	BR	6
D011100252	02	AU	DYB9676	F	30	SI	X	BR	5
D011100253	01	MO	LVA5808	M	26	SI	X	BR	2
D011100253	02	AU	EMJ6220	M	43	SI	X	BR	5
D011100254	01	MO	DOB2427	M	36	SI	X	BR	7
D011100254	02	AU	ARA0889	F	55	SI	X	BR	7
D011100255	01	AU	DWL6020	M	37	SI	X	SA	3
D011100255	02	AU	GUP5278	M	46	SI	X	BR	3
D011100256	01	MO	DHG8052	M	48	SI	X	BR	8
D011100257	01	AU	DJB4204	M	28	SI	X	BR	2
D011100257	02	AU	AGA2349	M	61	SI	X	BR	3
D011100258	01	AU	KND2839	M	18	IN	X	BR	3
D011100258	02	AU	DTD4258	M	62	SI	X	BR	5
D011100259	01	AU	FIU1954	M	56	HA	X	BR	3
D011100259	02	AU	DRN9968	F	26	HA	X	BR	7
D011100260	01	AU	DNA5458	F	62	HA	X	BR	3
D011100260	02	MO	DRY9967	M	23	SI	X	BR	8
D011100260	03	AU	DWO0017	F	24	HA	X	BR	3
D011100261	01	MO	BVF0320	M	19	HA	X	BR	3
D011100261	02	AU	DAI0823	M	45	HA	X	BR	5
D011100262	01	AU	DZI9963	X	SI	SI	X	BR	8
D011100262	02	MO	CMS1458	M	30	IN	X	BR	8
D011100263	01	OU	DJE7177	M	32	HA	X	BR	4
D011100263	02	OU	ECT9114	M	50	HA	X	BR	3
D011100264	01	AU	GTI6649	M	38	HA	X	BR	3
D011100265	01	AU	EMD1792	M	34	SI	X	BR	7
D011100265	02	MO	DCR2292	M	38	SI	X	BR	5
D011100266	01	CA	SI     	X	SI	SI	X	BR	8
D011100267	01	AU	EMN6607	X	SI	SI	X	BR	8
D011100268	01	AU	EMJ0035	M	75	SI	X	BR	3
D011100268	02	MO	BSP9930	M	18	HA	X	BR	5
D011100269	01	OU	ECT9114	X	SI	SI	X	BR	8
D011100270	01	MO	EFH0329	M	27	IN	X	BR	5
