MAPINFO_ID	ID_VEICULO	ID_ACIDENT	TIPO_VEICU	SEXO_CONDU	IDADE_COND	CATEGORIA_	USA_CINTO_	EST_ALCOOL	ESCOLARIDA
1620	02	D011501013	SI	X	SI	SI	X	BR	8
1621	01	D011501015	AU	M	39	SI	X	BR	5
1622	01	D011501016	AU	M	56	SI	X	BR	3
1623	02	D011501016	AU	M	37	SI	X	BR	3
1624	01	D011501017	AU	X	47	SI	X	BR	8
1625	01	D011501018	AU	M	45	SI	X	BR	5
1626	02	D011501018	AU	M	59	SI	X	BR	7
1627	01	D011501019	CM	F	30	SI	X	BR	5
1628	02	D011501019	MO	M	21	SI	X	BR	5
1629	01	D011501020	AU	M	27	SI	X	BR	5
1630	02	D011501020	MO	M	36	SI	X	BR	3
1631	01	D011501021	AU	M	32	SI	X	BR	5
1632	02	D011501021	AU	M	54	SI	X	BR	7
1633	01	D011501022	OU	M	52	SI	X	BR	4
1634	01	D011501023	OU	M	45	SI	X	BR	3
1635	02	D011501023	AU	F	37	SI	X	BR	8
1636	01	D011501024	SI	X	SI	SI	X	BR	8
1637	01	D011501025	OU	M	49	SI	X	BR	3
1638	02	D011501025	MO	M	20	SI	X	BR	3
1639	01	D011501026	MO	M	22	SI	X	BR	5
1640	01	D011501027	AU	M	63	SI	X	BR	8
1641	02	D011501027	MO	M	37	SI	X	BR	3
1642	01	D011501028	AU	M	19	SI	X	BR	5
1643	01	D011501029	SI	X	SI	SI	X	BR	8
1644	02	D011501029	AU	M	40	SI	X	BR	8
1645	01	D011501030	AU	F	29	SI	X	BR	5
1646	02	D011501030	CM	M	35	SI	X	BR	5
1647	03	D011501030	AU	M	21	SI	X	BR	3
1648	01	D011501031	AU	M	28	SI	X	BR	5
1649	02	D011501031	MO	M	26	SI	X	BR	5
1650	01	D011501032	CM	M	46	SI	X	BR	5
1651	01	D011501033	AU	M	40	SI	X	BR	3
1652	02	D011501033	MO	M	29	SI	X	BR	3
1653	01	D011501034	ON	M	26	SI	X	BR	5
1654	02	D011501034	AU	M	22	SI	X	BR	2
1655	01	D011500417	OU	M	56	SI	X	BR	2
1656	02	D011500417	AU	M	81	SI	X	BR	8
1657	01	D011501036	MO	M	23	SI	X	BR	5
1658	01	D011501037	AU	M	49	SI	X	BR	5
1659	01	D011501038	AU	X	SI	SI	X	BR	8
1660	01	D011501039	MO	M	20	SI	X	BR	5
1661	01	D011501040	AU	M	35	SI	X	BR	3
1662	02	D011501040	AU	M	36	SI	X	BR	5
1663	01	D011501041	CA	M	32	SI	X	BR	5
1664	02	D011501041	MO	M	SI	SI	X	BR	8
1665	01	D011501044	AU	M	SI	SI	X	BR	8
1666	02	D011501044	MO	M	28	SI	X	BR	5
1667	01	D011501045	AU	F	47	SI	X	BR	7
1668	02	D011501045	MO	M	20	SI	X	BR	5
1669	01	D011501046	MO	X	SI	SI	X	BR	8
1670	02	D011501046	MO	M	20	SI	X	BR	8
1671	01	D011501047	MO	M	22	SI	X	BR	3
1672	02	D011501047	MO	M	29	SI	X	BR	8
