x,y,id_acident,cadloga,cadlogb,alt_num,referencia,data,hora,cod_acid,fonte,viatura,dp,talao,sentido,pista,veiculos,vitimas,princ_a,princ_b,tipo_acide,mi_prinx
-46.705423,-23.579573,D011600093,14267,,501,,2016/01/20 00:00:00.000,630,2,D,,34,169,,,11000000000000000,200,14267,,CO,312299
-46.43811,-23.601219,D011600094,44983,29950,,,2016/01/11 00:00:00.000,2036,4,D,,49,392,,,100000000000000,100,29950,44983,AT,312300
-46.550164,-23.511357,D011600095,7703,,1080,,2016/01/05 00:00:00.000,1909,2,D,,10,123,,,11000000000000000,100,7703,,CO,312301
-46.369014,-23.498038,D011600096,15768,,308,,2016/01/27 00:00:00.000,1630,2,D,,23,358,,,11000000000000000,100,15768,,CO,312302
-46.657175,-23.555123,D011600097,2497,13696,,,2016/01/06 00:00:00.000,2343,4,D,,4,142,,,10,100,2497,13696,AT,312303
-46.6670,-23.679443,D011600098,75468,,298,,2016/01/01 00:00:00.000,2115,4,D,,80,1655,,,1000000000000000,100,75468,,AT,312304
-46.687538,-23.556533,D011600099,2402,,205,,2016/01/16 00:00:00.000,1810,4,D,,14,440,,,20000000000000000,200,2402,,AT,312305
-46.690585,-23.571165,D011600100,16919,,3199,,2016/01/13 00:00:00.000,1900,2,D,,14,1379,,,10001000000000000,100,16919,,CO,312306
-46.634669,-23.538757,D011600101,19017,16725,,,2016/01/26 00:00:00.000,1920,2,D,,3,547,,,2000000000000000,100,16725,19017,CO,312307
-46.571171,-23.540938,D011600102,2658,,206,,2016/01/09 00:00:00.000,840,2,D,,30,146,,,11000000000000000,100,2658,,CL,312308
0,0,D011600103,98750,,,,2016/01/01 00:00:00.000,310,4,D,,63,471,,,1000000000000000,200,98750,,AT,312309
-46.513446,-23.591349,D011600104,8591,,51,,2016/01/10 00:00:00.000,1500,4,D,,41,136,,,10000000000000000,100,8591,,AT,312310
-46.686476,-23.522799,D011600105,8267,17561,,,2016/01/23 00:00:00.000,1426,2,D,,7,415,,,1000000100000,1,8267,17561,CO,312311
-46.711007,-23.518956,D011600106,16838,,,ESTRADA DAS TAI,2016/01/10 00:00:00.000,36,2,D,,74,280,,,10000000000100000,100,16838,,CO,312312
-46.591279,-23.425094,D011600107,18151,,7500,,2016/01/24 00:00:00.000,2359,2,D,,20,876,B,,20000000000000000,300,18151,,CF,312313
-46.711153,-23.632728,D011600108,24615,,192,,2016/01/15 00:00:00.000,1420,2,D,,11,500,,,11000000000000000,100,24615,,SI,312314
-46.622139,-23.5350,D011600109,10485,,1075,,2016/01/19 00:00:00.000,1050,4,D,,12,1712,,,1000000000000000,100,10485,,AT,312315
-46.511889,-23.620398,D011600110,63263,,20,,2016/01/23 00:00:00.000,2130,2,D,,70,725,,,1000000000000000,100,63263,,QM,312316
-46.724973,-23.476636,D011600111,78830,,162,,2016/01/09 00:00:00.000,1750,2,D,,87,200,,,20000000000000000,100,78830,,CO,312317
-46.752465,-23.645857,D011600112,46544,,10,,2016/01/12 00:00:00.000,1920,2,D,,37,216,,,11000000000000000,100,46544,,CL,312318
-46.619361,-23.618746,D011600113,5618,,1890,,2016/01/31 00:00:00.000,835,2,D,,16,730,,,11000000000000000,100,5618,,CL,312319
