ID_VEICULO,ID_ACIDENT,TIPO_VEICU,PLACA,SEXO_CONDU,IDADE_COND,CATEGORIA_,USA_CINTO_,ESTADO_ALC,ESCOLARIDA,cod_acid,tipo_acidente
2,D031700444,CM,EBK6106,M,34,IN,X,BR,3,2,CV
2,D031700445,MO,EFE6624,M,38,SI,X,BR,5,2,CO
1,D031700445,CM,,M,63,SI,X,BR,7,2,CO
2,D031700446,AU,DLA9456,M,76,SI,X,BR,7,2,CO
1,D031700446,MO,FOQ8028,X,SI,SI,X,BR,8,2,CO
1,D031700447,MO,GFK4450,M,55,SI,X,BR,6,2,SI
2,D031700447,AU,FLX2556,M,40,SI,X,BR,8,2,SI
1,D031700448,MO,EJR5957,M,39,SI,X,BR,8,2,CF
2,D031700448,AU,FEX5564,F,45,SI,X,BR,4,2,CF
1,D031700449,MO,DVU6058,M,36,SI,X,BR,3,2,CO
2,D031700449,AU,,X,SI,SI,X,BR,8,2,CO
1,D031700450,MO,,X,SI,SI,X,BR,7,4,AT
1,D031700451,ON,FXO5010,M,54,SI,X,BR,3,2,CO
2,D031700451,CM,FAH3387,M,49,SI,X,BR,3,2,CO
3,D031700451,BI,,M,16,NE,X,BR,3,2,CO
1,D031700452,AU,,M,SI,SI,X,BR,8,2,CO
2,D031700452,MO,,X,SI,SI,X,BR,8,2,CO
1,D031700453,MO,EXK4668,M,23,SI,X,BR,5,2,CO
2,D031700453,ON,fev-01,M,60,HA,X,BR,2,2,CO
1,D031700454,MO,FAY8834,M,36,SI,X,BR,7,2,SI
2,D031700454,AU,,X,SI,SI,X,BR,8,2,SI
3,D031700454,OT,,X,34,SI,X,BR,7,2,SI
1,D031700455,MO,DZS6551,F,35,SI,X,BR,7,4,AT
1,D031700456,MO,CHL8085,M,34,SI,X,BR,7,2,CO
2,D031700456,AU,MII3659,F,24,SI,X,BR,5,2,CO
1,D031700457,MO,FGV4068,M,23,SI,X,BR,5,2,CO
2,D031700457,AU,FNZ0767,F,33,SI,X,BR,7,2,CO
1,D031700458,AU,CSL3804,X,SI,SI,X,BR,3,4,AT
1,D031700459,AU,FTL1047,F,51,SI,X,BR,8,2,CH
1,D031700460,AU,FDJ5751,M,51,SI,X,BR,7,2,CO
2,D031700460,AU,,M,37,SI,X,BR,3,2,CO
1,D031700461,AU,DKZ1530,M,44,SI,X,BR,8,2,CO
2,D031700461,CM,EXS8797,M,47,SI,X,BR,3,2,CO
1,D031700462,MO,EQD4941,M,19,SI,X,BR,5,2,CH
1,D031700463,MO,,M,37,SI,X,BR,5,2,CO
2,D031700463,CA,,X,SI,SI,X,BR,8,2,CO
1,D031700464,AU,DAV9849,M,27,SI,X,BR,5,4,AT
1,D031700465,MO,FIF4761,M,39,SI,X,BR,5,2,CL
2,D031700465,SI,,X,SI,SI,X,BR,8,2,CL
1,D031700466,AU,EJI3846,F,59,SI,X,BR,3,4,AT
1,D031700467,AU,EQI1893,M,46,SI,X,BR,5,2,CO
2,D031700467,AU,,M,56,SI,X,BR,5,2,CO
1,D031700468,AU,GBY5665,M,31,SI,X,BR,5,2,CT
2,D031700468,MO,,M,19,SI,X,BR,5,2,CT
2,D031700469,AU,CGU3606,M,24,SI,X,BR,5,2,CO
1,D031700469,MO,GEF9288,M,37,SI,X,BR,8,2,CO
1,D031700470,MO,DJK2126,M,22,SI,X,BR,5,2,SI
1,D031700471,MO,FIM5013,M,49,SI,X,BR,7,2,CO
