id_acidente	id_vitima	id_veiculo	sexo	idade	tipo_vitima	classificacao	tipo_veiculo	estado_alcoolizacao	escolaridade	data
D011400197	001	01	F	19	PD	F	AU	BR	3	          
D011400198	001	01	M	47	CD	F	BI	BR	7	          
D011400199	001	01	M	32	CD	F	MO	BR	3	          
D011400199	002	01	F	SI	PS	F	MO	BR	8	          
D011400200	001	01	M	31	CD	F	MO	BR	8	          
D011400201	001	01	M	22	CD	F	AU	BR	6	          
D011400202	001	01	M	35	CD	F	MO	BR	6	          
D011400203	001	01	M	35	CD	F	MO	BR	5	          
D011400204	001	01	F	53	PD	F	AU	BR	5	          
D011400205	001	01	F	82	PD	F	OU	BR	3	          
D011400206	001	01	M	29	CD	F	BI	BR	3	          
D011400207	001	01	F	49	PS	F	OU	BR	3	          
D011400208	001	01	M	36	PD	F	AU	BR	5	          
D011400209	001	01	M	28	CD	F	MO	BR	5	          
D011400210	001	01	M	69	PD	F	MO	BR	7	          
D011400211	001	01	M	33	CD	F	AU	BR	7	          
D011400212	001	01	M	33	CD	F	BI	BR	3	          
D011400213	001	01	F	24	PS	F	ON	BR	6	          
D011400214	001	01	M	33	CD	F	MO	BR	5	          
D011400215	001	01	F	49	PD	F	MO	BR	5	          
D011400216	001	01	M	27	PS	F	MO	BR	5	          
D011400217	001	01	M	28	CD	F	MO	BR	7	          
D011400218	001	01	M	37	CD	F	MO	BR	8	          
D011400219	001	01	F	SI	PD	F	AU	BR	8	          
D011400220	001	01	M	SI	CD	F	MO	BR	8	          
D011400221	001	01	M	31	CD	F	MO	BR	2	          
D011400222	001	01	M	31	CD	F	MO	BR	5	          
D011400223	001	02	M	30	CD	F	MO	BR	2	          
D011400225	001	02	M	46	CD	F	AU	BR	5	          
D011400226	001	02	F	37	CD	F	AU	BR	8	          
D011400226	002	02	F	32	PS	F	AU	BR	5	          
D011400227	001	02	F	38	CD	F	AU	BR	5	          
D011400228	001	01	M	18	PD	F	CM	BR	8	          
D011400229	001	02	M	44	CD	F	MO	BR	3	          
D011400230	001	01	M	27	CD	F	MO	BR	5	          
D011400231	001	02	M	62	CD	F	BI	BR	3	          
D011400232	001	02	M	21	CD	F	MO	BR	4	          
D011400233	001	01	F	61	PD	F	AU	BR	3	          
D011400234	001	01	M	82	PD	F	CM	BR	7	          
D011400235	001	02	M	SI	CD	F	MO	BR	8	          
D011400236	001	02	M	27	CD	F	AU	BR	5	          
D011400237	001	01	M	65	CD	F	CM	BR	3	          
D011400237	002	02	M	24	CD	F	MO	BR	3	          
D011400237	003	02	F	27	PS	F	MO	BR	8	          
D011400238	001	03	M	36	CD	F	AU	BR	7	          
D011400239	001	01	M	50	PD	F	AU	BR	7	          
D011400240	001	02	M	42	CD	F	MO	BR	5	          
D011400240	002	02	F	39	PS	F	MO	BR	5	          
D011400241	001	01	F	38	CD	F	AU	BR	7	          
