X,Y,id_acidente,cadloga,logradouro_a,cadlogb,logradouro_b,alt_num,referencia,data,dia__semana,dia_semana,mes_acidente,hora,cod_acid,fonte,viatura,dp,talao,sentido,pista,automovel,moto,onibus,caminhao,bicicleta,moto_taxi,onibus_fretado,onibus_urbano,microonibus,van,vuc,caminhonete,carreta,jipe,outros,sem_informacao,carroca,feridos,mortos,dec,det_atz,get_atz,distrito,distrito_atz,pref_reg,folha,princ_a,princ_b,placa1,tipo_placa1,placa2,tipo_plac2,placa3,tipo_plac3,tipo_acidente,mi_prinx,LAT,LONG,MAPINFO_ID
-46.40642,-23.521072,D121701900,72995,RUA   JOSE FELIPE AMARAL,,,49,,2017/12/10 00:00:00,1,DOMINGO,DEZEMBRO,1899/12/30 02:53:00,2,D,,50,3199,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,LE2,LE2,LE,84,84,ITAIM PAULISTA,,72995,,,,,,,,CH,,-23.521072,-46.40642,12970
-46.727593,-23.592071,D121701902,6043,RUA   DOMINGOS OLIMPIO,,,39,,2017/12/19 00:00:00,3,TERCA-FEIRA,DEZEMBRO,1899/12/30 13:44:00,2,D,,34,3875,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,OE3,OE3,OE,94,94,BUTANTA,,6043,,,,,,,,CH,,-23.592071,-46.727593,12971
-46.66682,-23.753315,D121701904,1001,RUA   PEDRO ESCOBAR,,,59,,2017/12/10 00:00:00,1,DOMINGO,DEZEMBRO,1899/12/30 20:00:00,4,D,,101,900340,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,SU4,SU4,SU,30,30,CAPELA DO SOCORRO,,1001,,,,,,,,AT,,-23.753315,-46.66682,12972
-46.631023,-23.617472,D121701906,3802,RUA  DOS CACIQUES,4843,RUA GAL  CHAGAS SANTOS,0,,2017/12/07 00:00:00,5,QUINTA-FEIRA,DEZEMBRO,1899/12/30 13:58:00,2,D,,16,11688,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SU1,SU1,SU,77,77,VILA MARIANA,,3802,4843,,,,,,,CF,,-23.617472,-46.631023,12973
-46.571559,-23.434818,D121701907,49278,RUA S  FILIPE NERI,,,0,NC,2017/12/09 00:00:00,7,SABADO,DEZEMBRO,1899/12/30 15:45:00,4,D,,73,13373,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CN2,CN2,CN,81,81,JACANA-TREMEMBE,,49278,,,,,,,,AT,,-23.434818,-46.571559,12974
-46.723219,-23.586238,D121701908,7500,AV PROF  FRANCISCO MORATO,,,2500,,2017/12/19 00:00:00,3,TERCA-FEIRA,DEZEMBRO,1899/12/30 16:40:00,2,D,,34,78,C,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,OE3,OE3,OE,54,54,BUTANTA,,7500,,,,,,,,CO,,-23.586238,-46.723219,12975
-46.779408,-23.66185,D121701909,9529,ES  DE ITAPECERICA,6493,AV DOM  RODRIGO SANCHES,0,,2017/12/17 00:00:00,1,DOMINGO,DEZEMBRO,1899/12/30 14:00:00,2,D,,47,12378,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SO3,SO3,SO,19,19,CAMPO LIMPO,,6493,9529,,,,,,,CV,,-23.66185,-46.779408,12976
-46.640963,-23.68032,D121701914,7764,AV   GARCIA DE AVILA,,,200,,2017/12/10 00:00:00,1,DOMINGO,DEZEMBRO,1899/12/30 20:30:00,2,D,,98,244,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,SU3,SU3,SU,22,22,CIDADE ADEMAR,,7764,,,,,,,,CT,,-23.68032,-46.640963,12977
-46.61397,-23.575112,D121701916,13673,RUA DOM  MATEUS,,,500,,2017/12/02 00:00:00,7,SABADO,DEZEMBRO,1899/12/30 13:25:00,2,D,,103,3344,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SU1,SU1,SU,34,34,IPIRANGA,,13673,,,,,,,,QF,,-23.575112,-46.61397,12978
-46.700166,-23.48529,D121701920,17171,RUA   RIO VERDE,,,0,NC,2017/12/25 00:00:00,2,SEGUNDA-FEIRA,DEZEMBRO,1899/12/30 22:21:00,2,D,,28,11116,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NO2,NO2,NO,29,29,FREGUESIA-BRASILANDIA,,17171,,,,,,,,CO,,-23.48529,-46.700166,12979
