id_vitima	id_acidente	id_veiculo	sexo	idade	tipo_vitima	classificacao	tipo_veiculo	estado_alcoolizacao	escolaridade	data
1	D011700197	1	M	20	CD	F	MO	BR	3	NULL
1	D011700198	1	M	19	CD	F	MO	BR	3	NULL
1	D011700199	1	M	35	CD	F	MO	BR	8	NULL
1	D011700200	1	F	54	CD	F	AU	BR	8	NULL
2	D011700200	1	M	8	PS	F	AU	BR	8	NULL
1	D011700201	1	M	32	CD	F	MO	BR	8	NULL
1	D011700202	1	M	18	PD	F	SI	BR	2	NULL
1	D011700203	2	M		CD	F	MO	BR	8	NULL
1	D011700204	1	M		CD	F	MO	BR	8	NULL
1	D011700205	1	F	69	PS	F	OU	BR	2	NULL
1	D011700206	1	M	24	CD	F	AU	BR	5	NULL
2	D011700206	1	M	19	PS	F	AU	BR	3	NULL
1	D011700207	1	M	35	CD	F	MO	BR	4	NULL
1	D011700208	1	M	61	PD	F	CM	BR	8	NULL
1	D011700209	1	M	31	CD	F	MO	BR	3	NULL
1	D011700210	1	M	32	PD	F	ON	BR	5	NULL
1	D011700211	1	M	23	PD	F	ON	BR	5	NULL
1	D011700212	2	M	37	CD	F	MO	BR	5	NULL
1	D011700213	1	M	19	CD	F	MO	BR	8	NULL
1	D011700214	1	M		CD	F	MO	BR	8	NULL
1	D011700215	1	M	30	SI	F	AU	BR	3	NULL
2	D011700215	1	F	19	SI	F	AU	BR	5	NULL
3	D011700215	1	M	41	SI	F	AU	BR	3	NULL
1	D011700216	1	M	34	CD	F	MO	BR	5	NULL
1	D011700217	1	M	23	CD	F	MO	BR	5	NULL
1	D011700218	1	M	34	CD	F	AU	BR	3	NULL
2	D011700218	1	M	36	CD	F	AU	BR	5	NULL
1	D011700219	2	F	48	PS	F	AU	BR	7	NULL
1	D011700220	1	M	20	PD	F	AU	BR	3	NULL
1	D011700221	1	M	48	PD	F	MO	BR	5	NULL
1	D011700222	1	M	48	CD	F	AU	BR	2	NULL
1	D011700223	1	F	32	CD	F	AU	BR	7	NULL
1	D011700224	1	M	11	PD	F	MO	BR	2	NULL
2	D011700224	1	M	37	CD	F	MO	BR	8	NULL
1	D011700225	1	M	47	CD	F	MO	BR	3	NULL
1	D011700226	2	M	19	CD	F	MO	BR	5	NULL
1	D011700227	1	M	40	PD	F	AU	BR	8	NULL
1	D011700228	1	M	81	PD	F	AU	BR	3	NULL
1	D011700229	1	M	23	CD	F	MO	BR	3	NULL
1	D011700230	1	M	41	CD	F	MO	BR	5	NULL
1	D011700231	1	M	29	CD	F	MO	BR	3	NULL
1	D011700232	2	F	26	CD	F	AU	BR	7	NULL
1	D011700233	1	M	50	PD	F	MO	BR	3	NULL
1	D011700234	1	M	36	CD	F	MO	BR	3	NULL
1	D011700235	1	M		CD	F	MO	BR	8	NULL
1	D011700236	1	M	17	CD	F	AU	BR	3	NULL
1	D011700237	1	M	29	CD	F	AU	AA	2	NULL
1	D011700238	1	M	20	CD	F	MO	BR	8	NULL
1	D011700239	1	M	39	PD	F	MO	BR	5	NULL
1	D011700240	1	M		CD	F	MO	BR	8	NULL
1	D011700241	1	M	30	PS	F	ON	BR	8	NULL
1	D011700242	1	M	38	CD	F	MO	BR	5	NULL
1	D011700243	1	M	62	CD	F	MO	BR	7	NULL
1	D011700244	1	F	32	CD	F	MO	BR	5	NULL
1	D011700245	1	M	32	CD	F	MO	BR	3	NULL
1	D011700246	1	F	37	PS	F	AU	BR	3	NULL
2	D011700246	1	M		CD	F	AU	BR	3	NULL
1	D011700247	1	M	48	PD	F	ON	AA	3	NULL
1	D011700248	1	M	38	CD	F	MO	BR	8	NULL
1	D011700249	1	M	19	CD	F	MO	BR	5	NULL
1	D011700250	1	M	29	PD	F	MO	BR	3	NULL
1	D011700251	1	M	31	CD	F	AU	BR	5	NULL
2	D011700251	1	F	61	PS	F	AU	BR	3	NULL
1	D011700252	1	F	58	PD	M	AU	BR	3	01/01/2017 00:00
2	D011700252	1	F	10	PD	F	AU	BR	2	NULL
1	D011700253	2	F	64	PD	M	AU	BR	5	02/01/2017 00:00
1	D011700254	1	M		CD	F	MO	BR	8	NULL
1	D011700255	1	M	36	CD	F	AU	SA	7	NULL
1	D011700256	1	F	31	CD	F	AU	BR	7	NULL
1	D011700257	1	F	48	PS	F	ON	BR	5	NULL
1	D011700258	1	M	39	CD	F	MO	BR	2	NULL
1	D011700259	1	M	57	PD	F	AU	BR	5	NULL
1	D011700260	1	M	39	CD	F	MO	BR	8	NULL
1	D011700261	2	M	32	CD	F	AU	BR	3	NULL
1	D011700262	2	F	39	CD	F	MO	BR	3	NULL
1	D011700263	1	M	26	CD	F	MO	BR	3	NULL
1	D011700264	1	F	34	CD	F	AU	BR	5	NULL
2	D011700264	1	F	11	PS	F	AU	BR	3	NULL
1	D011700265	1	M	33	CD	F	MO	BR	6	NULL
1	D011700266	1	F	5	PD	F	MO	BR	3	NULL
1	D011700267	1	F	42	CD	F	AU	BR	7	NULL
1	D011700268	2	F		CD	F	BI	BR	8	NULL
2	D011700268	2	M		PD	F	BI	BR	8	NULL
1	D011700269	1	M	20	PD	F	AU	BR	8	NULL
1	D011700270	1	M	38	CD	F	MO	BR	3	NULL
1	D011700271	1	M	59	CD	M	MO	BR	8	13/02/2017 00:00
1	D011700272	2	F	22	CD	F	AU	BR	7	NULL
1	D011700273	1	M	41	CD	F	AU	BR	3	NULL
1	D011700274	1	F	39	PS	F	ON	BR	5	NULL
1	D011700275	1	M	23	CD	F	AU	BR	8	NULL
2	D011700275	1	M	16	PS	F	AU	BR	8	NULL
1	D011700276	1	M	33	PD	M	SI	BR	8	11/01/2017 00:00
1	D011700277	1	M	15	CD	F	MO	BR	3	NULL
1	D011700278	1	M	43	PD	F	SI	BR	3	NULL
1	D011700279	1	M	11	PD	F	AU	BR	1	NULL
2	D011700279	1	F	39	PD	F	AU	BR	5	NULL
3	D011700279	1	M	1	PD	F	AU	BR	8	NULL
4	D011700279	1	M	55	CD	F	AU	BR	3	NULL
1	D011700280	1	F	81	PD	M	AU	BR	6	02/02/2017 00:00
1	D011700281	1	M	22	CD	F	AU	BR	5	NULL
1	D011700282	1	M		CD	F	CA	BR	8	NULL
1	D011700283	2	F	25	PS	F	AU	BR	5	NULL
1	D011700284	1	M	33	CD	F	AU	BR	3	NULL
1	D011700285	1	M	53	PD	F	CM	BR	3	NULL
1	D011700286	1	M	17	CD	M	BI	BR	5	26/01/2017 00:00
1	D011700287	1	M	11	PD	F	MO	BR	2	NULL
1	D011700288	1	F	20	SI	F	AU	BR	8	NULL
